7zip 26.01-1
alsa-ucm-conf 1.2.15.3-1
amd-ucode 20260410-1
android-studio 2025.3.4.7-1
android-tools 35.0.2-25
ansible 13.6.0-1
appimagelauncher 3.0.0_beta_3-1
archlinuxcn-keyring 20260505-1
archlinuxcn-mirrorlist-git 20250422-1
baobab 50.0-1
base 3-3
base-devel 1-2
bear 4.1.3-1
binder_linux-dkms 6.19-2
blueman 2.4.6-2
bluez 5.86-6
btop 1.4.7-1
btrfs-progs 7.0-1
burpsuite 2026.4.3-1
cc-switch-bin 3.15.0-1
cherry-studio-bin 1.9.6-1
chromium 148.0.7778.167-1
clang 22.1.5-1
clash-verge-rev-bin 2.4.7-1
claude-code-bin 2.1.126-2
cli11 2.6.2-1
cliphist 1:0.7.0-2
cmake 4.3.2-1
decibels 49.6.1-1
dms-shell 1.4.6-2
dnsmasq 2.92.rel2-2
docker 1:29.5.0-1
docker-buildx 0.34.0-1
docker-compose 5.1.3-1
edk2-ovmf 202602-3
efibootmgr 18-4
emacs-wayland 30.2-3
epiphany 50.4-2
fastfetch 2.63.1-1
fcitx5 5.1.19-1
fcitx5-chinese-addons 5.1.12-2
fcitx5-configtool 5.1.13-1
fcitx5-gtk 5.1.6-1
fcitx5-qt 5.1.13-4
fcitx5-rime 5.1.13-1
fd 10.4.2-2
ffmpegthumbnailer 2.3.0-1
file-roller 44.6-2
firefox 150.0.3-1
fish 4.7.1-1
fluent-reader-bin 1.2.1-1
fnm 1.39.0-1
foliate 3.3.0-2
garcon 4.20.0-2
gdb 17.2-1
gdm 50.0-2
git 2.54.0-1
github-cli 2.92.0-2
gnome-backgrounds 50.0-1
gnome-calculator 50.0-1
gnome-calendar 50.0-2
gnome-characters 50.0-1
gnome-clocks 50.0-2
gnome-color-manager 3.36.2-1
gnome-connections 50.0-1
gnome-console 50.0-1
gnome-contacts 50.0-1
gnome-control-center 50.1-1
gnome-disk-utility 46.1-2
gnome-font-viewer 50.0-1
gnome-keyring 1:50.0-1
gnome-logs 50.0-1
gnome-maps 50.1-1
gnome-menus 3.38.1-1
gnome-music 1:49.1-2
gnome-remote-desktop 50.1-1
gnome-session 50.0-1
gnome-settings-daemon 50.1-1
gnome-shell 1:50.1-2
gnome-software 50.1-1
gnome-system-monitor 50.0-1
gnome-text-editor 50.1-1
gnome-tour 50.0-1
gnome-user-docs 50.0-1
gnome-user-share 48.2-1
gnome-weather 50.0-1
go 2:1.26.3-1
google-chrome 148.0.7778.178-1
gpk-bin 0.5.2-1
graphviz 14.1.5-1
grilo-plugins 1:0.3.18-3
grub 2:2.14-1
grub-btrfs 4.14-1
gst-thumbnailers 1.0.0-1
gvfs-afc 1.60.0-2
gvfs-dnssd 1.60.0-2
gvfs-goa 1.60.0-2
gvfs-gphoto2 1.60.0-2
gvfs-mtp 1.60.0-2
gvfs-nfs 1.60.0-2
gvfs-onedrive 1.60.0-2
gvfs-smb 1.60.0-2
gvfs-wsdd 1.60.0-2
inotify-tools 4.25.9.0-1
jq 1.8.1-3
kanshi 1.9.0-1
keyd 2.6.0-5
kitty 0.46.2-1
lazydocker 0.25.2-1
less 1:692-1
libkeybinder3 0.3.2-5
libvirt 1:12.3.0-1
linux 7.0.9.arch1-1
linux-firmware 20260410-1
linux-headers 7.0.9.arch1-1
linuxqq 5:3.2.28_48517-2
loupe 50.0-1
malcontent 0.14.0-4
man-db 2.13.1-1
masscan 1.3.2-2
mousepad 0.7.0-1
ncdu 2.9.2-1
neovim-nightly-bin 0.13.0+dev+533+gd7164eced6-1
networkmanager 1.56.1-1
ninja 1.13.2-3
niri 26.04-1
nmap 7.99-2
noctalia-qs 0.0.12-1
node-gyp 12.3.0-1
noto-fonts 1:2026.05.01-1
noto-fonts-emoji 1:2.051-1
ntfs-3g 2022.10.3-2
obs-studio 32.1.2-3
obsidian 1.12.7-2
onlyoffice-bin 9.3.1-1
openai-codex 0.131.0-1
openbsd-netcat 1.234_2-1
opencode-bin 1.15.5-1
orca 50.1.2-1
os-prober 1.84-1
pacman-contrib 1.13.1-1
pandoc-cli 3.6-39
paperquay 0.1.4-1
papers 50.1-1
parole 4.20.0-1
pipewire 1:1.6.5-1
pipewire-alsa 1:1.6.5-1
pipewire-jack 1:1.6.5-1
pipewire-pulse 1:1.6.5-1
polkit-gnome 0.105-12
postgresql 18.4-1
power-profiles-daemon 0.30-1
powertop 2.15-2
python-requests 2.34.2-1
qbittorrent 5.2.0-1
qemu-desktop 11.0.0-1
qemu-system-riscv 11.0.0-1
qt5-wayland 5.15.18+kde+r55-1
reqable-bin 3.1.1-1
ripgrep 15.1.0-2
riscv64-unknown-elf-binutils 2.45.1-1
riscv64-unknown-elf-gcc 16.1.0-1
ristretto 0.14.0-1
rygel 1:45.1-1
sddm 0.21.0-6
showtime 50.0-1
simple-scan 50.0-1
snapshot 50.0-1
sof-firmware 2025.12.2-1
sshpass 1.10-2
steam 1.0.0.85-6
stow 2.4.1-1
strace 7.0-1
sushi 50.0-1
swtpm 0.10.1-2
tailscale 1.98.2-1
taskwarrior-tui 0.27.0-1
tecla 50.0-1
telegram-desktop 6.8.2-3
texlive-basic 2026.1-1
texlive-bin 2026.0-1
texlive-latexextra 2026.1-1
texlive-plaingeneric 2026.1-1
texlive-xetex 2026.1-1
thunar-archive-plugin 0.6.0-1
thunar-media-tags-plugin 0.6.0-1
thunar-volman 4.20.0-2
timeshift 25.12.4-1
tk 8.6.16-1
traceroute 2.1.6-1
tree 2.3.2-1
ttf-maplemono-nf-cn-unhinted 7.9-1
tumbler 4.20.1-1
unzip 6.0-23
uv 0.11.14-1
v2rayn-bin 7.21.3-1
